afterHoursDistance,afterHoursDrivingDuration,afterHoursEnd,afterHoursStart,afterHoursStopDuration,averageSpeed,distance,drivingDuration,idlingDuration,isSeatBeltOff,maximumSpeed,nextTripStart,speedRange1,speedRange1Duration,speedRange2,speedRange2Duration,speedRange3,speedRange3Duration,start,stop,stopDuration,workDistance,workDrivingDuration,workStopDuration,id,engineHours,vehicle_id,trip_id
0.14253473,192,true,true,289,2.6725264,0.14253473,192,289,false,26,2019-11-16 00:12:25+00:00,0,0,0,0,0,0,2019-11-16 00:04:24+00:00,2019-11-16 00:07:36+00:00,289,0,0,0,b91C5159,null,b3dd,51591bc9
0.74162334,150,true,true,350,17.688467,0.74162334,150,10,false,50,2019-11-16 00:13:38.063000+00:00,0,0,0,0,0,0,2019-11-16 00:05:17.063000+00:00,2019-11-16 00:07:48+00:00,350,0,0,0,b9464EBC,null,bbb6,94cb6be4
4.111032,763,true,true,7181,19.372953,4.111032,763,11,false,55,2019-11-17 18:07:36.063000+00:00,0,0,0,0,0,0,2019-11-15 23:55:11.063000+00:00,2019-11-16 00:07:55+00:00,7181,0,0,0,b9039C22,null,6b96,39bc2029
0.03681131,227,true,true,395,0.5813919,0.03681131,227,48,false,12,2019-11-16 00:14:33.063000+00:00,0,0,0,0,0,0,2019-11-16 00:04:10.063000+00:00,2019-11-16 00:07:58+00:00,395,0,0,0,b919D814,null,16b84,94b1d198
96.76345,4040,true,true,10292,86.204865,96.76345,4040,76,false,112,2019-11-18 14:32:08.063000+00:00,0,0,0,0,0,0,2019-11-15 23:01:07.063000+00:00,2019-11-16 00:08:28+00:00,8620,0,0,12728,b904DBF0,null,86bb,b09bd40f
64.639175,2829,true,true,962,82.25558,64.639175,2829,0,false,135,2019-11-16 00:24:36.063000+00:00,9,536,2,33,0,0,2019-11-15 23:21:25.063000+00:00,2019-11-16 00:08:34.063000+00:00,962,0,0,0,b902CEE0,null,134b1,b0cee902
52.8577,4126,true,false,766,60.58797,114.645905,6812,2,false,114,2019-11-16 00:21:32+00:00,0,0,0,0,0,0,2019-11-15 22:15:14+00:00,2019-11-16 00:08:46+00:00,766,61.788204,2686,0,b902CE83,null,8b10b,8203ce9b
6.012227,553,true,true,58577,39.07314,6.012227,553,0,false,70,2019-11-16 16:25:23.063000+00:00,0,0,0,0,0,0,2019-11-15 23:59:52.127000+00:00,2019-11-16 00:09:06.063000+00:00,58577,0,0,0,b919BDBB,null,e1fb6,b99dbb1b
11.436723,905,true,true,0,45.49093,11.436723,905,0,false,107,2019-11-16 00:09:09.063000+00:00,0,0,0,0,0,0,2019-11-15 23:54:03.063000+00:00,2019-11-16 00:09:08.127000+00:00,0,0,0,0,b945E387,null,0eb,58be3974
3.5462534,762,true,true,375,16.753954,3.5462534,762,375,false,50,2019-11-16 00:15:59+00:00,0,0,0,0,0,0,2019-11-15 23:57:02+00:00,2019-11-16 00:09:44+00:00,375,0,0,0,b91BD180,null,dbbd,b10b8d19
0.79043514,185,true,true,172,15.303928,0.79043514,185,5,false,44,2019-11-16 00:12:46.063000+00:00,0,0,0,0,0,0,2019-11-16 00:06:48.063000+00:00,2019-11-16 00:09:54+00:00,172,0,0,0,b9473C86,null,ca8b,68793b4c
0.8036875,155,true,true,85210,18.66629,0.8036875,155,0,false,46,2019-11-16 23:50:12.063000+00:00,0,0,0,0,0,0,2019-11-16 00:07:27.063000+00:00,2019-11-16 00:10:02.063000+00:00,85210,0,0,0,b9114AB0,null,697b,411b0ba9
1.9614601,546,true,true,1017,12.912059,1.9614601,546,4,false,37,2019-11-16 00:29:04.063000+00:00,0,0,0,0,0,0,2019-11-16 00:03:00.127000+00:00,2019-11-16 00:12:07+00:00,1017,0,0,0,b902CFE4,null,75b,92e0fbc4
